Year,Bachelor,Type,1_Bedroom,Type2,2_Bedroom,Type3,3_Bedroom,Type4,Total,Type5
1990-10-01,454,a,559,a,689,a,843,a,628,a
1991-10-01,482,a,592,a,730,a,889,a,666,a
1992-10-01,493,a,609,a,754,a,906,a,686,a
1993-10-01,510,a,627,a,773,a,933,a,705,a
1994-10-01,516,a,641,a,784,a,946,a,717,a
1995-10-01,531,a,661,a,805,a,966,a,736,a
1996-10-01,541,a,675,a,819,a,986,a,749,a
1997-10-01,555,a,685,a,821,a,985,a,756,a
1998-10-01,589,a,729,a,881,a,1052,a,808,a
1999-10-01,628,a,770,a,916,a,1082,a,845,a
2000-10-01,683,a,830,a,979,a,1165,a,908,a
2001-10-01,695,a,866,a,1027,a,1224,a,949,a
2002-10-01,729,a,891,a,1047,a,1253,a,975,a
2003-10-01,731,a,884,a,1040,a,1211,a,964,a
2004-10-01,727,a,886,a,1052,a,1235,a,973,a
2005-10-01,724,a,888,a,1052,a,1243,a,973,a
2006-10-01,740,a,896,a,1067,a,1272,a,989,a
2007-10-01,740,a,900,a,1061,a,1252,a,984,a
2008-10-01,764,a,927,a,1095,a,1288,a,1014,a
2009-10-01,758,a,926,a,1096,a,1290,a,1011,a
2010-10-01,777,a,949,a,1123,a,1322,a,1040,a
2011-10-01,819,a,977,a,1149,a,1349,a,1066,a
2012-10-01,837,a,1007,a,1183,a,1413,a,1102,a
2013-10-01,873,a,1032,a,1213,a,1454,a,1131,a
2014-10-01,896,a,1067,a,1251,a,1458,a,1163,a
2015-10-01,937,a,1103,a,1288,a,1510,a,1202,a
2016-10-01,957,a,1132,a,1327,a,1515,a,1233,a
2017-10-01,1013,a,1194,a,1404,a,1569,a,1300,a
2018-10-01,1080,a,1261,a,1467,a,1633,a,1363,a
2019-10-01,1141,a,1361,a,1562,a,1732,a,1459,a
2020-10-01,1204,a,1421,a,1635,a,1848,a,1528,a
2021-10-01,1217,a,1439,a,1679,a,1907,a,1561,a
2022-10-01,1306,a,1527,a,1779,a,2041,a,1660,a
2023-10-01,1414,a,1691,a,1961,a,2191,a,1826,a
